idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
270105IND03;RS12;Регион Војводине;00;2020;74.7;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS12;Регион Војводине;00;2021;77.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2010;21.3;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2011;26.7;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2012;33.4;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2013;38.6;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2014;50.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2015;51.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2022;80.7;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2023;88.3;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2016;53.9;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2017;61.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2018;71.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2019;75;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2020;77.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS21;Регион Шумадије и Западне Србије;00;2021;79.2;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2010;20.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2011;26.4;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2012;31.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2013;36.9;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2014;44.8;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2015;46.5;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2022;76.6;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2023;80.3;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2016;47;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2017;54.6;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2018;66;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2019;71.1;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2020;77.3;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
270105IND03;RS22;Регион Јужне и Источне Србије;00;2021;75.7;PC;%;РЗС;Домаћинства која поседују широкопојасну интернет конекцију, по регионима;A;Коначан податак
