Region,Year,TotalTourists,ForeignTourists,HousesWithInternet%,CompaniesWithWebSites%,AmountOfPeopleWithHighEducation,PeopleWithHighEducationWithoutJob,AmountOfPeopleWithSecondaryEducation,PeopleWithSecondaryEducationWithoutJob,AmountOfPeopleWithoutEducation,PeopleWithoutEducationWithoutJob,AmountOfMales,AmountOfMalesWithoutJob,AmountOfFemales,AmountOfFemalesWithoutJob,AmountOfPeopleInRegion,AmountOfPeopleInRegionWithoutJob,AmountOf_15-24_PeopleInRegion,AmountOf_15-24_PeopleInRegionWithoutJob,AmountOf_15-64_PeopleInRegion,AmountOf_15-64_PeopleInRegionWithoutJob,AmountOf_25-34_PeopleInRegion,AmountOf_25-34_PeopleInRegionWithoutJob,AmountOf_35-44_PeopleInRegion,AmountOf_35-44_PeopleInRegionWithoutJob,AmountOf_45-54_PeopleInRegion,AmountOf_45-54_PeopleInRegionWithoutJob,AmountOf_55-64_PeopleInRegion,AmountOf_55-64_PeopleInRegionWithoutJob,AmountOf_65+_PeopleInRegion
Београдски регион,2013,718943,536937,52.8,83.7,402900.0,22800.0,756800.0,77800.0,269100.00000000006,13200.0,666300.0,61400.0,762400.0,52400.0,1428700.0,113900.0,180300.0,21500.0,1156100.0,113800.0,259700.0,38000.0,237900.0,24300.0,219400.0,18800.0,258800.0,11100.0,272700.0
Регион Војводине,2013,347138,151857,44.7,73.5,256600.0,28800.0,858500.0,126700.0,532700.0,45100.0,794400.0,117100.0,853500.0,83700.0,1647700.0,200800.0,227200.0,34600.0,1331600.0,200300.0,267500.0,64600.0,259200.0,39200.0,278300.0,38800.0,299400.0,23000.0,316100.0
Регион Шумадије и Западне Србије,2013,791545,149838,38.6,63.1,193300.0,29000.0,866300.0,120500.0,665200.0,31900.0,843200.0,89900.0,881700.0,91700.0,1724800.0,181600.0,240100.0,30000.0,1370100.0,181400.0,255800.0,50600.0,266100.0,49300.0,284400.0,36300.0,323700.0,15100.0,354900.0
Регион Јужне и Источне Србије,2013,334809,83136,36.9,60.7,138600.0,24000.0,681300.0,113500.0,517200.0,31000.0,656100.0,89600.0,680900.0,78900.0,1337000.0,168400.0,181300.0,33000.0,1036200.0,168500.0,190500.0,62100.0,205000.0,32700.0,210700.0,27400.0,248700.0,13300.0,301000.0
РЕПУБЛИКА СРБИЈА,2014,2192268,1028732,55.1,74.0,1039600.0,110300.0,3141700.0,397200.0,1917900.0,100600.0,2941100.0,327000.0,3158000.0,281200.0,6099200.0,608200.0,804400.0,108800.0,4823400.0,607400.0,958500.0,198400.0,973300.0,134600.0,976700.0,108100.0,1110500.0,57500.0,1275800.0
Београдски регион,2014,753742,597765,65.2,81.3,412100.0,32900.0,757700.0,82000.0,261100.00000000003,12800.0,666700.0,66800.0,764200.0,60800.0,1430900.0,127700.0,175400.0,20000.0,1147600.0,127400.0,256400.0,44400.0,244500.0,27900.0,218200.0,21600.0,253100.0,13500.0,283300.0
Регион Војводине,2014,371490,168582,59.0,70.8,254900.0,25400.0,861500.0,106400.0,519600.0,36600.0,789000.0,98000.0,847100.0,70500.0,1636000.0,168500.0,219800.0,30000.0,1311200.0,168100.0,262800.0,53800.0,261000.0,34300.0,272900.0,31400.0,294700.0,18600.0,324800.0
Регион Шумадије и Западне Србије,2014,737507,165869,50.5,70.1,208700.0,27000.0,858200.0,112500.0,642300.0,27300.0,835800.0,85300.0,873500.0,81600.0,1709200.0,166900.0,232700.0,30800.0,1347100.0,166800.0,251200.0,49500.0,264700.0,41700.0,277700.0,30700.0,320800.0,14000.0,362200.0
Регион Јужне и Источне Србије,2014,329529,96516,44.8,66.6,163800.0,25000.0,664300.0,96300.0,494900.0,23900.0,649700.0,76900.0,673300.0,68300.0,1323000.0,145200.0,176500.0,27900.0,1017500.0,145100.0,188100.0,50800.0,203100.0,30600.0,207900.0,24300.0,241900.0,11500.0,305600.0
РЕПУБЛИКА СРБИЈА,2015,2437165,1132221,56.0,75.2,1087700.0,116000.0,3120600.0,355900.0,1851600.0,80000.0,2922300.0,296100.0,3137600.0,255800.0,6059900.0,551900.0,780000.0,98300.0,4753000.0,550900.0,943500.0,181700.0,978400.0,123400.0,960700.0,94700.0,1090400.0,52800.0,1307100.0
